,article,name,picture,tag,time,title,url
246,"  Союзные силы в последние несколько часов взяли населенный пункт Золотое-2 в ЛНР,   подполковник Народной милиции республики Андрей Марочко. Об освобождении Золотого-3 и Золотого-4 Марочко сообщил сегодня утром. Накануне луганские силовики уточняли, что группировка противника в Горском и Золотом оказалась в ""полном окружении"", а   и промзона   — в ""оперативном окружении"". По данным посла   в    , в Лисичанске находятся около пяти-семи тысяч украинских военных. Кроме того, подразделения республики подошли к Лисичанскому нефтеперерабатывающему заводу, который располагается к юго-западу от города. Россия с 24 февраля проводит спецоперацию по денацификации и демилитаризации  . Как подчеркнул президент  , ее цель заключается в ""защите людей, которые на протяжении восьми лет подвергаются издевательствам, геноциду со стороны киевского режима"".",ria-ru,https://cdnn21.img.ria.ru/images/07e6/06/14/1796803273_0:122:3122:1878_1920x0_80_0_0_9d2dbfdcb7f9b35bcf23e0dcabfaa192.jpg,"Специальная военная операция на Украине,В мире,Луганская Народная Республика,Андрей Марочко,Владимир Путин,Лисичанск,Северодонецк,Россия",2022-06-23 15:51:00,Союзные силы освободили Золотое-2 в ЛНР,https://ria.ru/20220623/donbass-1797604030.html
137,"Российский боксер , заявил, что не сможет выйти на ринг вместе с фигуристкой Алиной Загитовой.,Загитова и Батыргазиев должны были выступить в формате шоу-поединка по боксу 25 июня в «Лужниках» в рамках Дня Московского спорта, организованного Департаментом спорта Москвы.,«К сожалению, из-за старой травмы, побеспокоившей меня в последнем бою, я действительно не смогу участвовать в открытой тренировке с Алиной Загитовой. Идея была великолепна, но травма не дает мне возможности участвовать», — приводит слова боксера ,.,Ранее сообщалось, вместо Альберта Батыргазиева соперником Алины Загитовой в показательном боксерском спарринге , двукратный олимпийский чемпион по боксу ,.,Фигуристка уже несколько недель тренируется в ринге и работает над техникой, о чем стало известно в ее социальных сетях.,Загитова — олимпийская чемпионка (одиночное катание) и серебряный призер (командный турнир) Олимпийских игр — 2018. Также в активе спортсменки золото чемпионата мира — 2019, золото и серебро европейских первенств в 2018 и 2019 годах.",gazeta-ru,https://img.gazeta.ru/files3/224/13809224/RIAN_6407890.HR-pic_32ratio_900x600-900x600-37131.jpg,sport,2022-06-23 15:51:04,"Олимпийский чемпион объяснил, почему отказался выйти на ринг с Загитовой ",https://www.gazeta.ru/sport/news/2022/06/23/17992220.shtml>
131,"Обозреватель , Эндрю Тенненборн назвал внесение Украины в список стран-кандидатов на вступление в Евросоюз «пиар-ходом Брюсселя» и «бутафорией».,«Албания, Северная Македония, Черногория, Сербия и Турция являются действующими кандидатами в списке на вступление в ЕС. Все уважаемые нации, но не стоит ожидать, что кто-то из них быстро вступит в альянс. Официальное включение Украины в этот список больше похоже на пиар-маневр со стороны Брюсселя, который отчаянно пытается продемонстрировать свою поддержку благому делу, чем на серьезную приверженность чему-то гораздо большему», — пишет Тенненборн.,Также автор указал на разногласия внутри блока. В частности на то, что, по некоторым сообщениям, Португалия, Нидерланды и Дания не горят желанием принять Украину в ЕС. При этом, как пишет Тенненборн, Финляндия заявляет о необходимости проведения масштабных реформ. В свою очередь Бельгия указала на то, что Киеву потребуется много времени, чтобы вступить в Евросоюз.,Ранее депутаты , , резолюцию, в которой потребовали «безотлагательно предоставить» статус кандидатов на вступление в Евросоюз Украине и Молдавии.",gazeta-ru,https://img.gazeta.ru/files3/740/15015740/AP100109525803-pic_32ratio_900x600-900x600-40524.jpg,politics,2022-06-23 15:52:14,The Spectator назвал бутафорией солидарность ЕС с Украиной ,https://www.gazeta.ru/politics/news/2022/06/23/17992178.shtml>
82,"Экс-президент Молдавии Додон назвал сумасшедшим домом введение в республике режима ЧП Экс-президент Молдавии  , находящийся по домашним арестом, назвал цель продления режима чрезвычайного положения (ЧП) в республике. По его мнению, таким образом власти пытаются что-то скрыть. Его цитирует  . «Режим ЧП так часто возможен только в сумасшедшем доме. Как можно так часто его вводить?» — заявил Додон. Бывший глава государства также обратился к правящей партии. «У вас парламентское большинство, есть 63 депутата, вы можете собраться в любой момент хоть в кабинете у [президента] Майи Санду, вы можете проводить заседания как положено, а режим ЧП вводят, чтобы что-то скрыть», — сказал он. По мнению Додона, властям страны придется ответить за все принятые во время режима ЧП решения и «разбазаривание бюджета». Ранее стало известно, что парламент Молдавии   решение продлить режим чрезвычайного положения в стране на 45 дней с 24 июня. По мнению властей, в республике сохраняются «риски энергетической безопасности, безопасности границ, необходимость дальнейшего управления потоками беженцев из Украины».",lenta-ru,https://icdn.lenta.ru/images/2022/06/23/15/20220623155009347/owl_detail_240_6d3be4ada01d274ec63f86f2a5e6819f.jpg,Бывший СССР,2022-06-23 15:53:00,Додон назвал цель введения в Молдавии режима ЧП,https://lenta.ru/news/2022/06/23/dodon_durdom/>
145,"Министр предпринимательства, энергетики и промышленной стратегии Великобритании Квази Квартенг заявил, что страна снизила объемы импорта газа из России на 75% по сравнению с 2021 годом. Сообщение об этом пресс-служба британского правительства ,на своем сайте.,«В Великобритании мы уже сократили импорт российского газа на 75% по сравнению с аналогичным периодом прошлого года», — сказал Квартенг, выступая на конференции Second Century London Conference.,При этом министр отметил, что долю импорта российской нефти королевство снизило в два раза.,Квартенг также сказал, что Великобритания на сегодняшний день уязвима перед газовыми рынками, которые она не в состоянии контролировать.,Глава министерства предпринимательства, энергетики и промышленной стратегии добавил, что к концу 2022 года Великобритания полностью откажется от российских энергоносителей.,Ранее 22 июня пресс-служба Бюро национальной статистики страны (Office for National Statistics) ,, что годовая инфляция в Британии в мае 2022 года достигла 9,1%, побив рекорд 40-летней давности.",gazeta-ru,https://img.gazeta.ru/files3/936/13445936/20191001_zaa_s197_096-pic_32ratio_900x600-900x600-23841.jpg,business,2022-06-23 15:53:20,Великобритания сократила объем импорта газа из России на 75% ,https://www.gazeta.ru/business/news/2022/06/23/17992292.shtml>
132,"Россия решительно требует от США пресечь деятельность по открытой вербовке наемников, которую ведет посольство Украины на территории Соединенных Штатов, это может привести к непредсказуемым и тяжелым международным последствиям. Об этом заявила официальный представитель Министерства иностранных дел России ,, ее слова приводятся на , ведомства.,По данным ,, при попустительстве со стороны Белого дома и спецслужб США американские граждане вербуются и переправляются на Украину и в Донбасс для участия в боевых действиях на стороне украинских Вооруженных сил.,Захарова подчеркнула, что деятельность украинского посольства по открытой вербовке противоречит Венской конвенции о дипломатических сношениях 1961 года. По ее словам, лишь американские СМИ сообщают о том, что после начала специальной военной операции России на Украине воевать на стороне Киева выразили готовность около 20 тысяч американских граждан, а диппредставительство Украины официально зарегистрировало более 6 тысяч заявок.,«Расцениваем потворство официальных властей США подобной деятельности как очередное доказательство того, что Вашингтон не заинтересован в урегулировании украинского кризиса, а напротив — стремится подпитывать конфликт, нацеливаясь на стратегическое поражение России», — заявила представитель МИД РФ.,Ранее ,, что приговоренные в ДНР к смертной казни наемники готовятся подать прошения о помиловании.",gazeta-ru,https://img.gazeta.ru/files3/387/13060387/RIAN_6227720.HR-pic905-895x505-78433.jpg,army,2022-06-23 15:54:30,МИД РФ: Москва требует от Вашингтона пресечь деятельность по вербовке наемников для ВСУ ,https://www.gazeta.ru/army/news/2022/06/23/17992154.shtml>
134,"Для Александры Трусовой 18-й год жизни обещал стать, возможно, самым важным в спортивной карьере: ей предстояло выступить на Олимпиаде. К главному старту четырехлетия она подошла, имея за плечами ряд призовых мест на взрослом уровне, включая медали на этапах Гран-при, чемпионате Европы и мира.,Но ей предстояло конкурировать с соотечественницами Камилой Валиевой и ,. В командном первенстве Трусовой не дали возможность побороться за награду, поставив в состав на обе программы Валиеву, и вся надежда у Русской Ракеты была на личное первенство.,Болельщики же гадали, сколько четверных прыжков она сумеет исполнить чисто. Трусова постоянно заявляла большое количество квадов, но ни разу не выполнила все безошибочно. Исключение — открытые прокаты ,, где спортсменка приземлила пять четверных прыжков, однако это не являлось официальным турниром.,Более драматичной развязки в итоге вряд ли было возможно представить. Валиева, не выдержав прессинга общественности на фоне известия о положительной допинг-пробе, выступила неудачно и стала лишь четвертой, ну а Трусова…,Вот только олимпийской чемпионкой она так и не стала. Хотя именно эти феноменальные пять квадов должны были стать золотой кульминацией долгой и жесткой работы над собой. Но беда Трусовой оказалась в том, что Щербакова тогда не допустила ни одной ошибки и за счет больших бонусов за каждый технический элемент и более высоко оценки за компоненты (артистизм, скольжение т.д.) заняла первое место. Была ли она на самом деле сильнее Трусовой? Едва ли хоть один российский болельщик смог бы объективно ответить на этот вопрос. Оставалось лишь принять как данность: золото Олимпиады завоевала Шербакова, а Александре досталось серебро.,Что было дальше, все прекрасно помнят: в объективы телекамер перед церемонией награждения попала истерика Трусовой — и кто бы мог ее осудить?,Тогда она в сердцах заявила, что «ненавидит этот спорт» и не видит смысла продолжать выступления.,Конечно, эти слова были продиктованы эмоциями, и все же в сердца поклонников фигурного катания закралась тревога: неужели это сломает Сашу и она правда уйдет?,Пока спортсменка не торопится с заявлениями о завершении карьеры. Трехкратная олимпийская чемпионка Ирина ,, поздравляя Трусову с днем рождения, отметила важность выводов, которые спортсменка должна была сделать после Игр.,«Я поздравляю ее с днем рождения. Она большая стала, волосы длинные.,— сказала Роднина «Газете.Ru».,Судя по всему, Трусова попытается зайти на еще один олимпийский цикл. Вероятность этого серьезно повышают и изменения, которые принял конгресс Международного союза конькобежцев (ISU), — речь о возрастном цензе. Если в предстоящем сезоне возрастные нормы останутся без изменений, то с сезона-2023/24 выступать на взрослом уровне спортсмены смогут с 16 лет, а еще год спустя — с 17.,Таким образом, к Олимпиаде-2026 мировое фигурное катание подойдет в совсем ином виде: 15-летние звездочки не смогут выходить на лед и размазывать по нему более взрослых соперниц, как это делала, например, ,. А значит, изменится и уровень конкуренции. Эксперты неоднократно подмечали, что в юном возрасте для женского организма каждый год имеет большое значение, и физические различия между 15-летней и 17-летней спортсменкой существенны. Повзрослевшая Трусова с ее набором четверных прыжков по-прежнему сможет задать фору соперницам.,Возвращаясь к Трусовой, нельзя не заметить, что время после Олимпиады она проводила, не становясь затворницей, как могла бы поступить иная спортсменка, получившая такой психологический удар.,Кондратюк находился рядом с Трусовой и в тот момент, когда она решилась на нечто, принципиально отличающееся от ее привычного амплуа: приняла участие в московской Неделе легкой атлетики, где выступила в соревнованиях по прыжкам в длину, и ее результат пошел в зачет. Хотя, надо признать, ее лучший показатель — 4,19 метра — далек от цифр, с которыми Трусова могла бы конкурировать с профессиональными прыгуньями. Но конкуренция — это последнее, что могло бы подтолкнуть знаменитую фигуристку к такому шагу.,«Она медийная персона и решила поддержать российскую легкую атлетику. Тем более ей нравится прыгать, — рассказала в , «Газете.Ru» глава Всероссийской федерации легкой атлетики (ВФЛА) ,. — Она никогда не занималась прыжками в длину и не пробовала. Вся специфика прыжков в фигурном катании подразумевает совсем другое отталкивание, плюс еще и обороты есть.,И я очень ей благодарна, потому что она привлекла внимание большого количества поклонников фигурного катания, которые стали смотреть легкую атлетику».,Также Трусова неожиданно попробовала себя в стрип-пластике, показав танец в стиле фрейм-ап стрип.,О дальнейших перспективах Трусовой пока говорить сложно. Но, общаясь с журналистами после легкоатлетического старта, фигуристка подчеркнула, что тренируется и готовится к новому сезону.",gazeta-ru,https://img.gazeta.ru/files3/98/14835098/280267124_708807520367013_7533778604013756853_n-pic_32ratio_900x600-900x600-27037.jpg,sport,2022-06-23 15:55:40,"Сексуальный танец, роман с чемпионом и истерика на Играх: с чем Трусова встретила совершеннолетие ",https://www.gazeta.ru/sport/2022/06/23/15029282.shtml>
83,"Минобороны Тайваня заявило о 22 самолетах армии КНР в опознавательной зоне ПВО острова В Министерстве обороны Тайваня заявили, что 22 военных самолета Китая вошли в опознавательную зону ПВО острова. Такое сообщение ведомства в четверг, 23 июня, передает  . По данным оборонного ведомства Тайваня, в этой зоне оказались самолеты Народно-освободительной армии Китая (НОАК). В небе над островом были идентифицированы такие боевые машины, как противолодочные, а также радиоэлектронной борьбы Y-8, самолеты KJ-500, стратегические бомбардировщики H-6. Помимо этого, среди самолетов заметили по меньшей мере десять истребителей J-16 и пять истребителей-бомбардировщиков JH-7. 22 июня также  , что вблизи берегов Тайваня разбился военный вертолет S-70 тайваньских военно-морских сил (ВМС). Уточнялось, что боевая машина принимала участие в учениях в районе тайваньской военно-морской базы Цзоин в городе Гаосюн на юго-западной стороне острова. 21 июня в оборонном ведомстве Тайваня  , что 29 военных самолетов НОАК вошли в опознавательную зону ПВО острова. В тот момент были замечены в операции истребители, стратегические бомбардировщики, а также противолодочные самолеты. Ранее аналитики CNN  , что Китай способен захватить Тайвань при попытке силового решения вопроса неподконтрольного острова, однако даже возможный успех достанется ему дорогой ценой. Китай превосходит Тайвань по многим аспектам. Таким образом, если в КНР полны решимости захватить остров, то, вероятно, страна сможет это сделать, но захват произойдет чрезвычайно «кровавой» ценой для Пекина, заключили в статье.",lenta-ru,https://icdn.lenta.ru/images/2022/06/23/15/20220623155801647/owl_detail_240_5ed6a652fefc83c59d3e6532ddfb7e0b.jpg,Мир,2022-06-23 15:57:00,22 самолета Китая вошли в опознавательную зону ПВО Тайваня,https://lenta.ru/news/2022/06/23/sam_taivan/>
84,"Министром спорта Чечни назначили тренера детей главы республики Кадырова Валида Эдилова Министром по физической культуре и спорту   стал  . О его назначении   на официальном сайте главы республики. Ранее Эдилов три месяца занимал пост руководителя секретариата главы Чечни  . Кадыров описал его как «человека с богатым опытом работы в спортивном направлении», а также отметил популярность министра среди спортсменов. По   издания «Кавказ.Реалии» ( ), Эдилов тренировал детей Кадырова. Его брат, бывший боец спортивного клуба «Ахмат»,   также обучал детей главы Чечни единоборствам, а позже занял пост заместителя премьер-министра республики — он курирует молодежную политику, спорт и контроль за расходованием бюджетных средств. Пост министра по физической культуре, спорту и молодежной политике в республике   двоюродный брат главы Чечни Рамзана Кадырова Турпал-Али Ибрагимов. До него эту должность занимал другой родственник Кадырова — его племянник, 24-летний Хамзат Кадыров. Кадыров неоднократно назначал своих родственников и приближенных на руководящие должности в регионе. В феврале стало известно, что дочь Рамзана Кадырова Хутмат   должность в секретариате руководителя региона. Старшая дочь главы Чечни   в 22 года   республиканское министерство культуры.",lenta-ru,https://icdn.lenta.ru/images/2022/06/23/15/20220623153616755/owl_detail_240_38cda665ddcc6eec375dfa7e46b8d81f.jpg,Россия,2022-06-23 15:57:00,Тренер детей Кадырова стал министром спорта Чечни,https://lenta.ru/news/2022/06/23/minsport/>
85,"Франция начала процесс закупки американских дронов-камикадзе Switchblade Французские военные получат американские беспилотники Switchblade. Армия страны начала процесс закупки разработанных компанией AeroVironment дронов-камикадзе,   Defense News. Начальник отдела планирования французской армии полковник Арно Гужон сообщил, что военные планируют получить новые беспилотники в течение шести месяцев. По его словам, армия ищет оружие, которое будет отличаться от мин и артиллерийских снарядов. В Министерстве вооруженных сил Франции добавили, что страна подает запрос на продажу Switchblade. Также в ведомстве рассказали о подготовке к «длительной операции с дистанционно управляемыми боеприпасами», которая начнется в 2023 году рамках проектов Colibri и Larinae. Неназванные официальные лица сообщили изданию, что целью этих проектов является поиск решения для уничтожения бронетехники на расстоянии от 5 до 50 километров. Перспективное оружие могут показать в 2024 году. В мае в публикации 19FortyFive российский барражирующий дрон-камикадзе «Куб-БЛА»   аналогом беспилотника Switchblade. В том же месяце издание The Drive   о преимуществах беспилотников Switchblade 600 перед противотанковыми ракетными комплексами (ПТРК) Javelin. Оператор может прервать миссию Switchblade после запуска беспилотника.",lenta-ru,https://icdn.lenta.ru/images/2022/06/23/14/20220623143159775/owl_detail_240_8b7e73cc535234b32eb65b38419c7c5c.jpg,Наука и техника,2022-06-23 15:57:00,Франция захотела купить Switchblade,https://lenta.ru/news/2022/06/23/switchblade/>
